ID,label,drives,total_sessions,n_days_after_onboarding,total_navigations_fav1,total_navigations_fav2,driven_km_drives,duration_minutes_drives,activity_days,driving_days,device
3382,retained,78,213.4416186,1822,34,0,877.9361137,517.1315821,8,8,iPhone
1834,retained,10,367.4849668,2986,281,26,878.6188928,422.8211369,1,1,iPhone
14597,retained,88,689.2755151,1899,338,48,879.2030635,590.8470915,22,20,Android
3915,retained,7,197.4785231,2496,60,0,879.322966,384.1917643,25,22,iPhone
1943,retained,46,246.0898119,1411,8,0,880.8138901,693.2686743,29,26,iPhone
1677,retained,9,79.59398526,924,0,0,881.1506862,632.3781963,17,14,iPhone
9914,retained,24,118.8628126,821,527,11,881.3013046,577.0180719,20,20,Android
1621,retained,45,173.9770375,1859,106,148,881.4939405,514.4732511,6,3,iPhone
3464,retained,283,371.4889255,3188,228,49,881.6914677,427.9512145,12,12,iPhone
13195,retained,44,369.8642194,1549,0,32,883.1068982,483.580989,1,1,iPhone
8517,retained,99,133.4895721,3186,411,1,884.2320431,568.553548,26,16,iPhone
8902,retained,80,181.9556858,980,93,0,884.4825806,427.2304701,20,17,iPhone
5873,retained,11,178.1409886,1094,0,130,885.2242474,367.3539267,16,16,Android
4648,retained,48,179.7543522,1014,51,19,885.9141722,259.0005157,10,5,iPhone
1999,retained,7,94.0481589,3199,157,118,886.2821967,553.6505859,12,9,iPhone
8674,retained,28,131.6016295,2896,301,18,886.6854703,642.2716054,19,17,iPhone
2697,retained,32,53.01436731,2091,392,34,887.5134147,581.8959578,12,8,Android
245,retained,8,70.68795123,2266,43,31,889.0358983,256.717097,5,5,iPhone
7336,retained,83,105.9604435,949,39,0,891.8917742,673.2055582,13,9,iPhone
3998,retained,117,252.2182469,3072,233,0,894.353784,705.834495,25,24,Android
5423,retained,52,84.43830641,3463,3,0,895.2633332,740.0417515,29,23,iPhone
13382,retained,98,178.071659,2180,344,5,895.5318374,691.4975606,27,17,iPhone
7372,retained,62,151.6388,859,566,34,897.6472399,290.1209559,5,3,iPhone
7938,retained,46,141.2185951,2408,619,25,898.0628947,480.1573873,14,13,Android
5,retained,103,279.5444373,2637,0,0,901.2386985,439.1013973,15,11,iPhone
8989,retained,45,99.63744974,909,490,16,903.5672764,711.6496755,22,14,iPhone
2262,retained,25,99.99455446,1703,0,23,903.8221437,606.8716007,11,11,iPhone
1822,retained,34,136.18027,3224,170,7,903.9503485,233.3760844,5,3,iPhone
198,retained,13,186.9794651,3306,184,32,905.6810673,299.0163994,10,10,Android
7085,retained,117,259.9456104,863,317,67,906.0170684,225.6058712,12,8,iPhone
6638,retained,169,278.8396962,2469,0,0,907.3969651,269.9021383,26,21,iPhone
1825,retained,115,255.3168063,3467,121,22,907.6342278,164.8840125,11,11,iPhone
7589,retained,79,203.4395601,3428,0,5,909.8999185,518.2504203,14,14,iPhone
13372,churned,123,268.6953726,2075,111,0,910.1481923,481.1758637,13,8,iPhone
13659,retained,89,171.2093695,2910,20,0,911.2412618,575.8927998,22,19,iPhone
5822,retained,105,313.8757698,2689,30,42,911.769145,430.2773192,26,25,iPhone
10779,retained,197,311.5606978,2844,164,0,912.713124,722.3830933,2,2,iPhone
4227,retained,37,68.34749495,1871,206,0,913.1171443,173.4063308,31,29,iPhone
12755,retained,169,251.0935093,1483,37,0,914.4034539,464.8586438,2,2,Android
11563,churned,19,126.5011665,1709,134,0,915.8574802,436.9073718,8,1,Android
2529,retained,207,415.3791916,3382,116,115,916.7764472,686.0372469,20,15,iPhone
2440,churned,64,262.5839698,2066,0,0,916.9879746,638.0258299,6,6,iPhone
3203,retained,74,137.8610182,1074,347,0,917.7221104,458.3502308,23,23,Android
6568,retained,9,208.7786457,1186,0,0,918.2918181,297.9474617,14,13,iPhone
294,retained,54,108.3482441,3491,57,0,918.7551918,745.8334329,13,13,Android
13689,churned,57,324.5437329,2527,0,51,918.9913428,505.8627195,4,4,iPhone
1785,retained,26,378.2317958,2640,105,3,919.7443902,625.308626,11,6,iPhone
2857,retained,39,230.4451675,1318,87,110,919.8283912,410.2214122,17,17,iPhone
10573,retained,73,111.4181495,2824,386,0,919.9620935,645.6060046,13,12,iPhone
9970,retained,50,295.9254386,3254,278,55,920.7784913,494.0115196,16,13,Android
9238,retained,30,63.94648543,1152,0,0,921.4461951,717.2689728,13,8,iPhone
13690,retained,13,233.4491692,1274,79,0,922.1426292,520.0085727,22,17,Android
1389,churned,20,96.76517584,1084,262,0,922.4072501,761.4484141,21,18,iPhone
5811,retained,14,193.6486685,997,301,41,924.0480825,634.6618099,27,18,iPhone
598,retained,50,143.7387157,2819,0,19,924.436703,657.7976358,27,23,Android
14097,churned,6,304.0650859,2347,275,1,924.4510871,642.6823569,2,2,iPhone
3967,retained,117,541.3986331,1875,0,136,924.6293573,697.4767243,20,20,iPhone
27,churned,5,215.8764605,2465,412,0,925.0304742,490.5346749,16,8,iPhone
4767,churned,100,277.5606301,3137,244,0,927.2620765,347.3380429,11,10,iPhone
6683,churned,38,118.8691376,2224,554,0,928.4380619,736.5493803,11,5,Android
9230,churned,3,221.1102143,1483,157,0,929.0231388,415.8989412,5,5,Android
3149,retained,4,179.0895662,2928,1,0,929.3997806,218.9900735,7,1,iPhone
609,retained,4,102.0626161,1867,271,13,930.5518637,520.7979058,14,13,iPhone
